gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group E,associate's degree,standard,completed,55,95,88
female,group E,some high school,free/reduced,none,80,64,87
male,group C,high school,free/reduced,completed,67,65,82
male,group B,bachelor's degree,free/reduced,none,62,54,45
female,group A,some high school,free/reduced,none,64,43,80
male,group B,high school,free/reduced,none,69,68,74
male,group B,associate's degree,free/reduced,completed,75,56,44
male,group D,high school,standard,none,51,69,68
female,group B,bachelor's degree,free/reduced,none,50,48,73
female,group C,some high school,standard,completed,83,59,76
female,group D,high school,standard,none,60,72,71
male,group D,high school,free/reduced,none,45,75,72
male,group B,bachelor's degree,free/reduced,completed,73,76,90
male,group E,high school,free/reduced,none,73,52,86
female,group D,master's degree,standard,none,43,82,25
female,group D,associate's degree,free/reduced,completed,69,59,63
male,group B,bachelor's degree,free/reduced,completed,77,79,66
female,group B,high school,standard,none,72,70,42
male,group E,associate's degree,standard,none,75,51,69
male,group C,some high school,standard,none,45,66,87
male,group C,high school,free/reduced,none,71,75,52
female,group C,master's degree,standard,none,61,79,73
male,group D,master's degree,free/reduced,none,59,68,54
male,group E,master's degree,standard,completed,79,91,58
male,group C,some college,free/reduced,completed,88,84,90
female,group E,high school,standard,none,93,66,60
female,group A,associate's degree,free/reduced,none,86,81,75
female,group D,high school,standard,none,64,97,40
female,group D,master's degree,standard,completed,71,97,96
male,group B,high school,free/reduced,none,78,53,77
male,group B,some high school,free/reduced,none,68,57,65
male,group C,high school,free/reduced,none,68,91,77
female,group E,high school,standard,none,78,55,47
female,group D,high school,standard,completed,65,51,86
female,group E,master's degree,standard,completed,55,63,63
female,group E,associate's degree,standard,none,60,76,65
female,group C,bachelor's degree,free/reduced,completed,76,69,61
female,group E,some college,free/reduced,completed,66,61,59
female,group A,high school,free/reduced,none,71,61,78
male,group B,high school,free/reduced,none,76,60,72
female,group E,high school,free/reduced,none,60,58,78
male,group E,bachelor's degree,free/reduced,completed,77,100,68
male,group B,high school,standard,none,72,74,76
female,group C,associate's degree,standard,none,47,82,62
male,group D,associate's degree,standard,none,88,63,100
male,group E,high school,free/reduced,completed,58,67,44
female,group D,some high school,standard,none,41,60,87
female,group C,some college,standard,completed,50,33,89
male,group C,master's degree,free/reduced,none,51,51,55
female,group C,some college,standard,completed,67,45,100
female,group D,master's degree,standard,none,62,39,83
female,group E,high school,free/reduced,none,61,53,83
male,group C,high school,free/reduced,completed,75,89,68
male,group B,bachelor's degree,standard,completed,71,69,65
male,group B,bachelor's degree,free/reduced,none,71,88,65
male,group D,associate's degree,standard,none,72,76,74
female,group E,some high school,free/reduced,completed,75,81,89
male,group B,some college,standard,completed,34,57,71
female,group A,high school,standard,none,61,77,54
female,group D,high school,standard,none,33,80,80
male,group B,some college,standard,completed,67,62,82
female,group E,bachelor's degree,free/reduced,completed,66,78,78
male,group C,some high school,standard,completed,82,78,79
male,group B,associate's degree,standard,none,84,62,64
male,group E,some college,standard,none,69,54,54
male,group B,high school,free/reduced,completed,58,53,55
male,group C,high school,free/reduced,completed,73,71,43
female,group B,some high school,free/reduced,completed,58,75,72
female,group B,bachelor's degree,standard,none,66,59,67
female,group A,some college,standard,none,81,70,61
